Lab.ID	BIOCYC.ID	Compound.name	mz	RT	CAS.ID	HMDB.ID	KEGG.ID	Formula	mz.pos	mz.neg	Submitter	Synonyms	monisotopic_molecular_weight	SMILES.ID	INCHI.ID	INCHIKEY.ID	Kingdom	Super_class	Class	Sub_class	direct_parent	molecular_framework	classyfire_status	classyfire_source	source
CPD-12629	CPD-12629	salicylate beta-D-glucose ester	300.0845174904					C13H16O8			plantcyc <https://plantcyc.org/>	salicylic acid beta-D-glucose ester // beta-D-glucopyranose, 1-(2-hydroxybenzoate) // SGE // SA beta-D-glucose ester // 2-hydroxybenzoic acid glucose ester // glucosyl salicylate	300.0845174904	C(O)[C@H]2(O[C@@H](OC(C1(/C=C\C=C/C(/O)=1))=O)[C@H](O)[C@@H](O)[C@H](O)2)		XNHKMZHWRNMFCU-HMUNZLOLSA-N									PlantCyc/PMN local PGDB
CPD-15172	CPD-15172	6,7-dehydrobaicalein	268.0371733673					C15H8O5			plantcyc <https://plantcyc.org/>		268.0371733673	C3(\C=C/C(/C1(/OC2(\C(\C(=O)\C=1)=C(C(=O)C(=O)/C=2)\O)))=C\C=3)		LSQWCIYRGVWPFX-UHFFFAOYSA-N									PlantCyc/PMN local PGDB
L-DELTA1-PYRROLINE_5-CARBOXYLATE	L-DELTA1-PYRROLINE_5-CARBOXYLATE	( S )-1-pyrroline-5-carboxylate	113.0476784741					C5H6NO2			plantcyc <https://plantcyc.org/>	pyrroline 5-carboxylate // L-&Delta; 1 -pyrroline-5-carboxylate // 1-pyrroline-5-carboxylate // L-1-pyrroline-5-carboxylate // delta-1-pyrroline-5-carboxylic acid // delta-1-pyrroline-5-carboxylate	113.0476784741	C1(\CC[C@@H](C(=O)[O-])\N=1)		DWAKNKKXGALPNW-BYPYZUCNSA-M									PlantCyc/PMN local PGDB
2-HYDROXYDAIDZEIN	2-HYDROXYDAIDZEIN	2'-hydroxydaidzein	270.0528234315					C15H10O5			plantcyc <https://plantcyc.org/>	2',4',7-trihydroxyisoflavone	270.0528234315	C1(\C(\O)=C/C(/O)=C(\C=1)/C2(/C(=O)C3(/C=C\C(\O)=C/C(/O\C=2)=3)))		ZCTNPCRBEWXCGP-UHFFFAOYSA-N									PlantCyc/PMN local PGDB
PANTOTHENATE	PANTOTHENATE	( R )-pantothenate	219.1106726614					C9H16NO5			plantcyc <https://plantcyc.org/>	vitamin B 5 // ( R )-pantothenic acid // D-pantothenic acid	219.1106726614	CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)[O-]		GHOKWGTUZJEAQD-ZETCQYMHSA-M									PlantCyc/PMN local PGDB
CPD-19795	CPD-19795	castasterone 22- O -sulfate	544.3069892076					C28H47O8S			plantcyc <https://plantcyc.org/>		544.3069892076	CC(C)[C@H](C)[C@@H](O)[C@H](OS(=O)(=O)[O-])[C@@H](C)[C@H]3(CC[C@H]4([C@@H]2(CC(=O)[C@H]1(C[C@H](O)[C@H](O)C[C@@](C)1[C@H]2CC[C@](C)34))))		JMSXZQCXTAJBSO-YLNAYWRASA-M									PlantCyc/PMN local PGDB
2-HYDROXY-3-KETO-5-METHYLTHIO-1-PHOSPHOP	2-HYDROXY-3-KETO-5-METHYLTHIO-1-PHOSPHOP	2-hydroxy-5-(methylsulfanyl)-3-oxopent-1-enyl 1-phosphate	242.0013952857					C6H8O6PS			plantcyc <https://plantcyc.org/>	1-phosphoryloxyl-2-hydroxy-3-keto-5-methylthiopentene // 2-hydroxy-3-keto-5-methylthio-1-phosphopentene // 2-hydroxy-5-(methylthio)-3-oxopent-1-en-1-yl 1-phosphate	242.0013952857	CSCCC(C(\[O-])=C\OP([O-])(=O)[O-])=O		YIEMFVNCENFBSD-XQRVVYSFSA-K									PlantCyc/PMN local PGDB
CPD-20260	CPD-20260	2- S -cysteinyldopa	316.0729069466					C12H16N2O6S			plantcyc <https://plantcyc.org/>		316.0729069466	C(SC1(/C(\C[C@@H](C(=O)[O-])[NH3+])=C\C=C(C(\O)=1)\O))[C@@H](C(=O)[O-])[NH3+]		IAGPESOLVJAEAG-BQBZGAKWSA-N									PlantCyc/PMN local PGDB
CPD-12515	CPD-12515	alpha-L-idopyranuronate	194.0426526757					C6H9O7			plantcyc <https://plantcyc.org/>	IdoA	194.0426526757	C([O-])(=O)[C@@H]1(O[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)1)		AEMOLEFTQBMNLQ-VCSGLWQLSA-M									PlantCyc/PMN local PGDB
CPD0-1662	CPD0-1662	alpha-monofluoromethylarginine	206.1179039465					C7H15N4O2F			plantcyc <https://plantcyc.org/>	MFMA	206.1179039465	C(NC(N)=N)CCC(CF)(N)C(=O)O		ZAJPVQSJWGQONE-UHFFFAOYSA-N									PlantCyc/PMN local PGDB
DCDP	DCDP	dCDP	387.0232667381					C9H12N3O10P2			plantcyc <https://plantcyc.org/>	2'-deoxycytidine diphosphate // 2'-deoxycytidine-5'-diphosphate // deoxycytidine-diphosphate	387.0232667381	C(OP(OP([O-])([O-])=O)(=O)[O-])[C@@H]2([C@H](C[C@H](N1(C(/N=C(\C=C/1)/N)=O))O2)O)		FTDHDKPUHBLBTL-SHYZEUOFSA-K									PlantCyc/PMN local PGDB
CPD-14880	CPD-14880	cyclic ADP-ribose	543.0767588716					C15H20N5O13P2			plantcyc <https://plantcyc.org/>	cADPR // cyclic adenosine diphosphate ribose // N 1 -(beta-D-ribosyl)adenosine 5'(P1),5''(P2)-cyclic diphosphate	543.0767588716	C4(OP([O-])(=O)OP(OC[C@@H]1([C@@H](O)[C@@H](O)[C@@H](O1)N2(\C=N/C3(\C/2=N/C=[N+](C(\N)=3)/[C@@H]5(O[C@H]4[C@@H](O)[C@@H](O)5)))))([O-])=O)		RSEFDAKYCYLNIE-KEOHHSTQSA-M									PlantCyc/PMN local PGDB
CPD-8084	CPD-8084	1-18:3-2-18:2-digalactosyldiacylglycerol	938.5966720921					C51H86O15			plantcyc <https://plantcyc.org/>	18:3-18:2-DGDG	938.5966720921	CC\C=C/C\C=C/C/C=C/CCCCCCCC(OC[C@H](CO[C@@H]2(O[C@H](CO[C@@H]1(O[C@H](CO)[C@H](O)[C@H](O)[C@@H](O)1))[C@H](O)[C@H](O)[C@@H](O)2))OC(=O)CCCCCCC\C=C/C\C=C/CCCCC)=O		OHMFSKZMPVONKQ-IERPWCHASA-N									PlantCyc/PMN local PGDB
CPDQT-36	CPDQT-36	3-[(3'-methylsulfanyl)propyl]malate	222.0561942499					C8H12O5S			plantcyc <https://plantcyc.org/>	3-[(3'-methylthio)propyl]malic acid // 3-[(3'-methylthio)propyl]malate	222.0561942499	C(C(CCCSC)C(O)C(=O)[O-])(=O)[O-]		SQXVIIOPMYSNCP-UHFFFAOYSA-L									PlantCyc/PMN local PGDB
