PlantCyc.ID	reaction_id	pathway_id	side	Compound.name	KEGG.ID	PubChem.ID	ChEBI.ID
ALLOCRYPTOPINE	RXN-13828	PWY-7507	left	allocryptopine	C02134	98570	17390
CPD-15147	RXN-14168	PWY-7186	left	( Z )-3-(2,4-dihydroxyphenyl)-prop-2-enoate		90657955	
CPD-15147	RXN-14166	PWY-7186	right	( Z )-3-(2,4-dihydroxyphenyl)-prop-2-enoate		90657955	
CPD-14005	RXN-14167	PWY-7186	right	2,4-dihydroxycinnamate		54708747	
CPD-14005	RXN-14166	PWY-7186	left	2,4-dihydroxycinnamate		54708747	
SCOPOLIN	SCOPOLETIN-GLUCOSYLTRANSFERASE-RXN	PWY-7186	right	scopolin	C01527	439514	16065
SCOPOLIN	SCOPOLETIN-GLUCOSYLTRANSFERASE-RXN	PWY4FS-10	right	scopolin	C01527	439514	16065
CPD-15076	RXN-14072	PWY-7186	left	( Z )-6'-hydroxyferulate		90657637	
CPD-15076	RXN-14070	PWY-7186	right	( Z )-6'-hydroxyferulate		90657637	
CPD-15073	RXN-14071	PWY-7186	right	( E )-6'-hydroxyferulate		90658149	
CPD-15073	RXN-14070	PWY-7186	left	( E )-6'-hydroxyferulate		90658149	
ETHYLENE-CMPD	ETHYL-RXN	ETHYL-PWY	right	ethene	C06547	6325	18153
CPD-8477	RXN-9551	PWY-5367	right	petroselinate	C08363	5461010	32375
R-CANADINE	RXN-15641	PWY-7522	right	(R)-canadine	C11818	443422	18146
CPD-16870	RXN-15640	PWY-7522	right	7,8-dihydroberberine		10217	192073
CPD-16870	RXN-15641	PWY-7522	left	7,8-dihydroberberine		10217	192073
CPD-6947	RXN-17007	PWY-5027	left	demethylphylloquinone	C13309	56927684	31087
CPD-6947	RXN-7568	PWY-5027	right	demethylphylloquinone	C13309	56927684	31087
CPD-12830	RXN-17007	PWY-5027	right	demethylphylloquinol	C21084	91820032	87844
CPD-12830	RXN-7569	PWY-5027	left	demethylphylloquinol	C21084	91820032	87844
