Lab.ID	BIOCYC.ID	Compound.name	mz	RT	CAS.ID	HMDB.ID	KEGG.ID	Formula	mz.pos	mz.neg	Submitter	Synonyms	monisotopic_molecular_weight	SMILES.ID	INCHI.ID	INCHIKEY.ID	Kingdom	Super_class	Class	Sub_class	direct_parent	molecular_framework	classyfire_status	classyfire_source	source
HYDROXY-METHYL-BUTENYL-DIP	HYDROXY-METHYL-BUTENYL-DIP	( E )-4-hydroxy-3-methylbut-2-en-1-yl diphosphate	262.000740382					C5H9O8P2			plantcyc <https://plantcyc.org/>	( E )-4-hydroxy-3-methylbut 2-en-1-yl diphosphate // HMBDP // 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate	262.000740382	CC(/CO)=C\COP(OP([O-])(=O)[O-])(=O)[O-]		MDSIZRKJVDMQOQ-GORDUTHDSA-K	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Isoprenoid phosphates	Isoprenoid phosphates	Aliphatic acyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-7002	CPD-7002	dihydrogeranylgeranyl diphosphate	452.2092765945					C20H35O7P2			plantcyc <https://plantcyc.org/>	dihydroGGPP // dihydrogeranylgeranyl-PP // dihydrogeranylgeranyl pyrophosphate	452.2092765945	CC(C)=CCCC(\C)=C/CC[C@H](CCCC(\C)=C/COP([O-])(=O)OP([O-])(=O)[O-])C		YJGANOFPASCZBK-WCNZLWBOSA-K	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	Acyclic diterpenoids	Aliphatic acyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-14839	CPD-14839	(+)-sesaminol 2- O -beta- D -gentiobioside	694.2108997955					C32H38O17			plantcyc <https://plantcyc.org/>	(+)-sesaminol 2- O -beta- D -glucosyl (1->6)- O -beta- D -glucoside	694.2108997955	C1(OC2(\C(\O1)=C/C=C(/C=2)/[C@H]3(OC[C@H]4([C@H](OC[C@H]34)C7(\C(\O[C@H]5([C@@H]([C@H]([C@H](O)[C@H](O5)CO[C@H]6([C@@H]([C@H]([C@H](O)[C@H](O6)CO)O)O))O)O))=C/C8(/OCOC(/C=7)=8))))))		YIGQNWGFLQZODP-SFMWUWOUSA-N	Organic compounds	Lignans, neolignans and related compounds	Lignan glycosides		Lignan glycosides	Aromatic heteropolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
AMINO-RIBOSYLAMINO-1H-3H-PYR-DIONE	AMINO-RIBOSYLAMINO-1H-3H-PYR-DIONE	5-amino-6-(D-ribitylamino)uracil	276.106984267					C9H16N4O6			plantcyc <https://plantcyc.org/>	6-(1-D-ribitylamino)-5-amino-2,4-dihydroxypyrimidine // 5-amino-6-ribitylamino-2,4(1H,3H)-pyrimidinedione // 6-(1-D-ribitylamino)-5-aminouracil // 5-amino-6-(1-D-ribitylamino)pyrimidine-2,4(1H,3H)-dione	276.106984267	C(NC1(NC(NC(=O)C(N)=1)=O))[C@H](O)[C@H](O)[C@H](O)CO		XKQZIXVJVUPORE-RPDRRWSUSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Pentoses	Aromatic heteromonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-8674	CPD-8674	1- O -(4-coumaroyl)-beta-D-glucose	326.1001675546					C15H18O8			plantcyc <https://plantcyc.org/>	1- O -(4-coumaroyl)-beta-D-glucoside // 1- O -(4-hydroxycinnamoyl)-beta-D-glucose	326.1001675546	C([C@H]2(O[C@@H](OC(=O)/C=C/C1(\C=C/C(/O)=C\C=1))[C@@H]([C@H]([C@@H]2O)O)O))O		DSNCQKUYZOSARM-QVLXMGEUSA-N	Organic compounds	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Hydroxycinnamic acids and derivatives	Hydroxycinnamic acid glycosides	Aromatic heteromonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-8162	CPD-8162	1-18:3-2-16:0-digalactosyldiacylglycerol	914.5966720921					C49H86O15			plantcyc <https://plantcyc.org/>	18:3-16:0-DGDG	914.5966720921	CC\C=C/C\C=C/C\C=C/CCCCCCCC(OC[C@H](CO[C@@H]2(O[C@H](CO[C@@H]1(O[C@H](CO)[C@H](O)[C@H](O)[C@@H](O)1))[C@H](O)[C@H](O)[C@@H](O)2))OC(=O)CCCCCCCCCCCCCCC)=O		IJEZFJFCQWYKEM-HZDSJJKASA-N	Organic compounds	Lipids and lipid-like molecules	Glycerolipids	Glycosylglycerols	Glycosyldiacylglycerols	Aliphatic heteromonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
BIO-5-AMP	BIO-5-AMP	biotinyl-5'-adenylate	573.1406827341					C20H27N7O9PS			plantcyc <https://plantcyc.org/>	biotinyl-5'-AMP	573.1406827341	C(OP(OC(=O)CCCC[C@@H]1(SC[C@@H]2(NC(=O)N[C@H]12)))(=O)[O-])[C@H]5(O[C@@H](N3(C4(\C(\N=C/3)=C(N)/N=C\N=4)))[C@H](O)[C@H](O)5)		UTQCSTJVMLODHM-RHCAYAJFSA-M	Organic compounds	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides	5'-acylphosphoadenosines	Aromatic heteropolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-24323	CPD-24323	monomethylarsino-diglutathione	702.0970333999					C21H33N6O12S2AS			plantcyc <https://plantcyc.org/>	MADG III	702.0970333999	C(NC([C@@H](NC(=O)CC[C@H]([NH3+])C([O-])=O)CS[As](SC[C@H](NC(=O)CC[C@H]([NH3+])C([O-])=O)C(NCC([O-])=O)=O)C)=O)C([O-])=O		PFYKVCFNANBHRF-CYDGBPFRSA-L							no_data	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
910-EPOXY-18-HYDROXYSTEARATE	910-EPOXY-18-HYDROXYSTEARATE	9,10-epoxy-18-hydroxystearate	314.2457095798					C18H33O4			plantcyc <https://plantcyc.org/>	9R,10S-epoxy-18-hydroxystearate	314.2457095798	C(CCCCCCCC1(C(CCCCCCCC(=O)[O-])O1))O		ITTPZDMHCNGAGQ-UHFFFAOYSA-M	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Medium-chain fatty acids	Aliphatic heteromonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
17-O-DEACETYLVINDOLINE	17-O-DEACETYLVINDOLINE	17-O-deacetylvindoline	414.2154720839					C23H31N2O5			plantcyc <https://plantcyc.org/>	deacetylvindoline	414.2154720839	CC[C@@]25(\C=C/C[NH+]4(CC[C@@]1(C3(/C=C\C(\OC)=C/C(/N(C)[C@H]1[C@](C(OC)=O)(O)[C@H](O)2)=3))[C@@H]45))		ZDKMPOJNYNVYLA-PEGGBQQISA-O							no_data	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-9307	CPD-9307	(+)- trans -isoalliin	177.0459639146					C6H11NO3S			plantcyc <https://plantcyc.org/>	PRENSCO // S-1-propenyl-L-cysteine sulfoxide	177.0459639146	C/C=C/S(=O)C[C@H]([NH3+])C([O-])=O		OKYHUOHBRKWCQJ-FTJYXMLISA-N	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Alpha amino acids	Aliphatic acyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
