PlantCyc.ID	reaction_id	pathway_id	side	Compound.name	KEGG.ID	PubChem.ID	ChEBI.ID
CPD-13090	RXN-12138	PWY-6710	right	(9Z,15Z)-12,13-epoxy-octadeca-9,15-dienoate		52940266	88462
CPD-13090	RXN-12142	PWY-6710	left	(9Z,15Z)-12,13-epoxy-octadeca-9,15-dienoate		52940266	88462
CPD-13091	RXN-12140	PWY-6710	left	(9Z,12Z)-15,16-epoxyoctadeca-9,12-dienoate		52940137	88460
CPD-13091	RXN-12139	PWY-6710	right	(9Z,12Z)-15,16-epoxyoctadeca-9,12-dienoate		52940137	88460
CPD-13093	RXN-12140	PWY-6710	right	15,16-DiHODE		52940176	88465
CPD-13094	RXN-12141	PWY-6710	right	9,10-DiHODE		52940106	88440
Glycerolipid-vernolate	RXN-9703	PWY-6014	right	a [glycerolipid]-vernolate			
Glycerolipid-vernolate	RXN-9703	PWY-6710	right	a [glycerolipid]-vernolate			
Vernolates	RXN-12136	PWY-6710	left	vernolate		25246088	84026
Vernolates	RXN-12134	PWY-8395	left	vernolate		25246088	84026
Vernolates	RXN-22222	PWY-8395	right	vernolate		25246088	84026
Vernolates	RXN-12134	PWY-6710	left	vernolate		25246088	84026
CPD-13088	RXN-12136	PWY-6710	right	9,10-12,13-diepoxyoctadecanoate	C14836	20975723	34500
CPD-13086	RXN-12134	PWY-6710	right	12,13-DiHOME	C14829	52940209	84028
CPD-13086	RXN-12134	PWY-8395	right	12,13-DiHOME	C14829	52940209	84028
CPD-13086	RXN-12135	PWY-6710	left	12,13-DiHOME	C14829	52940209	84028
CPD-13087	RXN-12135	PWY-6710	right	(9Z)-12,13,17-trihydroxyoctadeca-9-enoate		52940143	
D-Glucopyranuronate	RXN-14693	PWY-4841	left	D-glucopyranuronate			47952
D-Glucopyranuronate	GLUCURONOKINASE-RXN	PWY-4841	left	D-glucopyranuronate			47952
CPD-510	2.7.7.44-RXN	PWY-4841	left	alpha-D-glucuronate 1-phosphate	C05385	25244365	57897
CPD-510	GLUCURONOKINASE-RXN	PWY-4841	right	alpha-D-glucuronate 1-phosphate	C05385	25244365	57897
5-HYDROXY-CONIFERALDEHYDE	RXN-1143	PWY-5168	left	5-hydroxy-coniferaldehyde	C12204	5282094	31134
5-HYDROXY-CONIFERALDEHYDE	RXN-1142	PWY-5168	right	5-hydroxy-coniferaldehyde	C12204	5282094	31134
BCAA-dehydrogenase-lipoyl	RXN-7719	PWY-5046	right	a [BCAA dehydrogenase E2 protein] N 6 -lipoyl-L-lysine			
BCAA-dehydrogenase-lipoyl	1.2.4.4-RXN	PWY-5046	left	a [BCAA dehydrogenase E2 protein] N 6 -lipoyl-L-lysine			
BCAA-dehydrogenase-DH-lipoyl	2.3.1.168-RXN	PWY-5046	left	an [ apo BCAA dehydrogenase E2 protein] N 6 -dihydrolipoyl-L-lysine			
BCAA-dehydrogenase-DH-lipoyl	RXN-7719	PWY-5046	left	an [ apo BCAA dehydrogenase E2 protein] N 6 -dihydrolipoyl-L-lysine			
BCAA-dehydrogenase-2MP-DH-lipoyl	1.2.4.4-RXN	PWY-5046	right	an [ apo BCAA dehydrogenase E2 protein] N 6 - S -[2-methylpropanoyl]dihydrolipoyl-L-lysine			
BCAA-dehydrogenase-2MP-DH-lipoyl	2.3.1.168-RXN	PWY-5046	right	an [ apo BCAA dehydrogenase E2 protein] N 6 - S -[2-methylpropanoyl]dihydrolipoyl-L-lysine			
ISOBUTYRYL-COA	MEPROPCOA-FAD-RXN	VALDEG-PWY	left	isobutanoyl-CoA	C00630	45266570	57338
ISOBUTYRYL-COA	1.2.1.25-RXN	VALDEG-PWY	right	isobutanoyl-CoA	C00630	45266570	57338
ISOBUTYRYL-COA	2.3.1.168-RXN	PWY-5046	left	isobutanoyl-CoA	C00630	45266570	57338
CPD-12221	RXN-11268	PWY-6730	right	methyl bromide	C18447	6323	39275
BR-	RXN-11268	PWY-6730	left	bromide	C01324	259	15858
CPD-845	RXN-11267	PWY-6730	right	methyl chloride	C19446	6327	36014
CL-	RXN-11267	PWY-6730	left	chloride	C00698	312	17996
CPD-7676	RXN-11241	PWY-6730	right	methyl iodide	C18448	6328	39282
CPD-387	RXN-11241	PWY-6730	left	iodide	C00708	30165	16382
D-6-P-GLUCONO-DELTA-LACTONE	GLU6PDEHYDROG-RXN	OXIDATIVEPENT-PWY	right	6-phospho D-glucono-1,5-lactone	C01236	46926335	57955
D-6-P-GLUCONO-DELTA-LACTONE	6PGLUCONOLACT-RXN	OXIDATIVEPENT-PWY	left	6-phospho D-glucono-1,5-lactone	C01236	46926335	57955
CPD-2961	6PGLUCONOLACT-RXN	OXIDATIVEPENT-PWY	right	D-gluconate 6-phosphate	C00345	36688186	58759
CPD-2961	RXN-9952	OXIDATIVEPENT-PWY	left	D-gluconate 6-phosphate	C00345	36688186	58759
CPD-18666	RXN-17253	PWY-6927	left	epoxypheophorbide a	C21192	136663909	88232
CPD-18666	RXN-17252	PWY-5098	right	epoxypheophorbide a	C21192	136663909	88232
CPD-18666	RXN-17253	PWY-5098	left	epoxypheophorbide a	C21192	136663909	88232
CPD-18666	RXN-17252	PWY-6927	right	epoxypheophorbide a	C21192	136663909	88232
CPD-7061	RXN-17252	PWY-6927	left	pheophorbide a	C18021	135887872	58687
CPD-7061	RXN-8357	PWY-6927	right	pheophorbide a	C18021	135887872	58687
CPD-7061	RXN-7739	PWY-5098	right	pheophorbide a	C18021	135887872	58687
CPD-7061	RXN-17252	PWY-5098	left	pheophorbide a	C18021	135887872	58687
CPD-7061	3.1.1.82-RXN	PWY-5098	left	pheophorbide a	C18021	135887872	58687
CPD-7063	RXN-17253	PWY-5098	right	red chlorophyll catabolite	C18022	135926543	58716
CPD-7063	RXN-17253	PWY-6927	right	red chlorophyll catabolite	C18022	135926543	58716
CPD-7063	RXN-7741	PWY-5098	right	red chlorophyll catabolite	C18022	135926543	58716
CPD-7063	RXN-7741	PWY-6927	right	red chlorophyll catabolite	C18022	135926543	58716
CPD-7064	RXN-7741	PWY-6927	left	primary fluorescent chlorophyll catabolite	C18098	54740347	58719
CPD-7064	RXN-7741	PWY-5098	left	primary fluorescent chlorophyll catabolite	C18098	54740347	58719
CPD-8155	RXN-8378	PWY-6927	right	pheophytin a	C05797	135398712	44898
CPD-8155	RXN-8357	PWY-6927	left	pheophytin a	C05797	135398712	44898
MG+2	RXN-8378	PWY-6927	right	Mg 2+	C00305	888	18420
MG+2	RXN1F-20	CHLOROPHYLL-SYN	left	Mg 2+	C00305	888	18420
MG+2	RXN-7739	PWY-5098	right	Mg 2+	C00305	888	18420
CPD1F-131	RXN-7979	PWY-5945	left	antheraxanthin	C08579	5281223	27867
CPD1F-131	RXN-7984	PWY-5945	right	antheraxanthin	C08579	5281223	27867
CPD1F-131	RXN-7985	PWY-5945	left	antheraxanthin	C08579	5281223	27867
CPD1F-131	RXN-7978	PWY-5945	right	antheraxanthin	C08579	5281223	27867
CPDQT-400	RXNQT-4300	PWY-6909	right	ADP-5-ethyl-4-methylthiazole-2-carboxylate	C20784	5287651	139151
CPDQT-400	RXNQT-4301	PWY-6909	left	ADP-5-ethyl-4-methylthiazole-2-carboxylate	C20784	5287651	139151
PROT-CYS	RXNQT-4300	PWY-6909	left	a [protein]-L-cysteine	C02743		25917
CPD-17449	RXNQT-4300	PWY-6909	right	a [protein]-2-aminoprop-2-enoate			
Aldehydes	RXN-11377	PWY-6483	right	an aldehyde	C00071		17478
Sphingoid-1-phosphates	RXN-11376	PWY-6483	right	a sphingoid 1-phosphate			
Sphingoid-1-phosphates	RXN-11377	PWY-6483	left	a sphingoid 1-phosphate			
Sphingoids	RXN-11376	PWY-6483	left	a sphingoid base			
Sphingoids	RXN-11375	PWY-6483	right	a sphingoid base			
Ceramides	RXN-11375	PWY-6483	left	a ceramide			17761
CPD-13085	RXN-12131	PWY-6707	right	3,5-didehydroshikimate		52940206	
CPD-13085	RXN-12132	PWY-6707	left	3,5-didehydroshikimate		52940206	
CPD-183	RXN-12132	PWY-6707	right	gallate	c01424	54675821	16918
3-METHYL-CROTONYL-COA	METHYLCROTONYL-COA-CARBOXYLASE-RXN	LEU-DEG2-PWY	left	3-methylcrotonyl-CoA	C03069	45266575	57344
3-METHYL-CROTONYL-COA	RXN0-2301	LEU-DEG2-PWY	right	3-methylcrotonyl-CoA	C03069	45266575	57344
ISOVALERYL-COA	RXN0-2301	LEU-DEG2-PWY	left	3-methylbutanoyl-CoA	C02939	45266576	57345
ISOVALERYL-COA	2KETO-4METHYL-PENTANOATE-DEHYDROG-RXN	LEU-DEG2-PWY	right	3-methylbutanoyl-CoA	C02939	45266576	57345
TRANS-3-METHYL-GLUTACONYL-COA	METHYLGLUTACONYL-COA-HYDRATASE-RXN	LEU-DEG2-PWY	right	3-methylglutaconyl-CoA	C03231	90657229	15488
TRANS-3-METHYL-GLUTACONYL-COA	METHYLCROTONYL-COA-CARBOXYLASE-RXN	LEU-DEG2-PWY	right	3-methylglutaconyl-CoA	C03231	90657229	15488
2K-4CH3-PENTANOATE	2KETO-4METHYL-PENTANOATE-DEHYDROG-RXN	LEU-DEG2-PWY	left	4-methyl-2-oxopentanoate	C00233	3527278	17865
2K-4CH3-PENTANOATE	RXN-7800	LEUSYN-PWY	right	4-methyl-2-oxopentanoate	C00233	3527278	17865
2K-4CH3-PENTANOATE	BRANCHED-CHAINAMINOTRANSFERLEU-RXN	LEUSYN-PWY	right	4-methyl-2-oxopentanoate	C00233	3527278	17865
2K-4CH3-PENTANOATE	BRANCHED-CHAINAMINOTRANSFERLEU-RXN	LEU-DEG2-PWY	right	4-methyl-2-oxopentanoate	C00233	3527278	17865
DI-H-OROTATE	DIHYDROOROT-RXN	PWY-5686	left	( S )-dihydroorotate	C00337	5460289	30864
DI-H-OROTATE	DIHYDROOROTATE-DEHYDROGENASE-RXN	PWY-5686	left	( S )-dihydroorotate	C00337	5460289	30864
OROTATE	DIHYDROOROTATE-DEHYDROGENASE-RXN	PWY-5686	right	orotate	C00295	1492348	30839
OROTATE	OROPRIBTRANS-RXN	PWY-5686	right	orotate	C00295	1492348	30839
OROTIDINE-5-PHOSPHATE	OROTPDECARB-RXN	PWY-5686	left	orotidine 5'-phosphate	C01103	46878393	57538
OROTIDINE-5-PHOSPHATE	OROPRIBTRANS-RXN	PWY-5686	left	orotidine 5'-phosphate	C01103	46878393	57538
CARBAMYUL-L-ASPARTATE	ASPCARBTRANS-RXN	PWY-5686	right	N -carbamoyl-L-aspartate	C00438	5460257	32814
CARBAMYUL-L-ASPARTATE	DIHYDROOROT-RXN	PWY-5686	right	N -carbamoyl-L-aspartate	C00438	5460257	32814
CPD-15871	RXN-8351	PWY-5963	right	MoO 2 (S)-molybdopterin cofactor			60102
CPD-15870	RXN-8351	PWY-5963	left	MoO 2 (OH)-molybdopterin cofactor	C18237	135926587;90657564	71302
CPD-15870	RXN-21563	PWY-8171	right	MoO 2 (OH)-molybdopterin cofactor	C18237	135926587;90657564	71302
DTDP-D-GLUCOSE	DTDPGLUCDEHYDRAT-RXN	PWY-3221	left	dTDP-alpha-D-glucose	C00842	25202390	57477
DTDP-D-GLUCOSE	DTDPGLUCOSEPP-RXN	PWY-3221	right	dTDP-alpha-D-glucose	C00842	25202390	57477
DTDP-D-GLUCOSE	DTDPGLUCDEHYDRAT-RXN	DTDPRHAMSYN-PWY	left	dTDP-alpha-D-glucose	C00842	25202390	57477
DTDP-D-GLUCOSE	DTDPGLUCOSEPP-RXN	DTDPRHAMSYN-PWY	right	dTDP-alpha-D-glucose	C00842	25202390	57477
DTDP-DEOH-DEOXY-GLUCOSE	DTDPDEHYDRHAMEPIM-RXN	DTDPRHAMSYN-PWY	left	dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose	C11907	25244163	57649
DTDP-DEOH-DEOXY-GLUCOSE	DTDPGLUCDEHYDRAT-RXN	DTDPRHAMSYN-PWY	right	dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose	C11907	25244163	57649
DTDP-DEOH-DEOXY-GLUCOSE	RXN-5461	PWY-3221	right	dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose	C11907	25244163	57649
DTDP-DEOH-DEOXY-GLUCOSE	DTDPGLUCDEHYDRAT-RXN	PWY-3221	right	dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose	C11907	25244163	57649
DTDP-RHAMNOSE	RXN-5461	PWY-3221	left	dTDP-beta-L-rhamnose	C03319	25245982	57510
DTDP-RHAMNOSE	DTDPDEHYRHAMREDUCT-RXN	DTDPRHAMSYN-PWY	left	dTDP-beta-L-rhamnose	C03319	25245982	57510
GUANINE	GUANINE-DEAMINASE-RXN	PWY-6606	left	guanine	C00242	135398634	16235
GUANINE	RXN0-366	PWY-6599	right	guanine	C00242	135398634	16235
GUANINE	GUANPRIBOSYLTRAN-RXN	PWY-6599	right	guanine	C00242	135398634	16235
GUANINE	RXN0-366	PWY-6606	right	guanine	C00242	135398634	16235
Very-Long-Chain-Trans-23-Dehydroacyl-CoA	RXN-11750	PWY-5080	right	a very-long-chain (2 E )-2-enoyl-CoA	C20879		
Very-Long-Chain-Trans-23-Dehydroacyl-CoA	RXN-7711	PWY-5080	right	a very-long-chain (2 E )-2-enoyl-CoA	C20879		
Very-Long-Chain-3-Hydroxyacyl-CoAs	RXN-11750	PWY-5080	left	a very-long-chain (3 R )-3-hydroxyacyl-CoA	C20878		
Very-Long-Chain-3-Hydroxyacyl-CoAs	RXN-7698	PWY-5080	left	a very-long-chain (3 R )-3-hydroxyacyl-CoA	C20878		
