Lab.ID	BIOCYC.ID	Compound.name	mz	RT	CAS.ID	HMDB.ID	KEGG.ID	Formula	mz.pos	mz.neg	Submitter	Synonyms	monisotopic_molecular_weight	SMILES.ID	INCHI.ID	INCHIKEY.ID	Kingdom	Super_class	Class	Sub_class	direct_parent	molecular_framework	classyfire_status	classyfire_source	source
CPD-4616	CPD-4616	dihydrozeatin-9- N -glucoside	383.1804835611					C16H25N5O6			plantcyc <https://plantcyc.org/>		383.1804835611	C[C@@H](CCNC1(\C2(\N=C/N(C(\N=C/N=1)=2)[C@@H]3([C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O))))CO		DRPMMLWYLAPTPK-JSYMRTRDSA-N									PlantCyc/PMN local PGDB
TETCYCLACIS	TETCYCLACIS	tetcyclacis	273.0781231212					C13H12N5CL			plantcyc <https://plantcyc.org/>	tetcyclasis	273.0781231212	C1(/C=C(\C=C/C(/Cl)=1)/N5(C3(C(C2(C4(C(C(C2)3)\N=N/4)))\N=N/5)))		DPOWHSMECVNHAT-UHFFFAOYSA-N									PlantCyc/PMN local PGDB
CPD-21326	CPD-21326	marnerol	428.4018162913					C30H52O			plantcyc <https://plantcyc.org/>		428.4018162913	CC(C)=CCCC(\C)=C/CCC(\C)=C/CC[C@]1(C)([C@H](C)CCC([C@@H](CCCO)1)=C(C)C)		AARUWLXSIZJQDK-OPEBEUCHSA-N									PlantCyc/PMN local PGDB
CPD-9175	CPD-9175	N -acetyl-L-cysteine	163.0303138504					C5H8NO3S			plantcyc <https://plantcyc.org/>	acetylcysteine // N -acetylcysteine	163.0303138504	CC(N[C@H](C(=O)[O-])CS)=O		PWKSKIMOESPYIA-BYPYZUCNSA-M									PlantCyc/PMN local PGDB
CPD-20568	CPD-20568	tribromopyrrole-2-carboxylate	344.7635661136					C5HNO2BR3			plantcyc <https://plantcyc.org/>		344.7635661136	C1(Br)(NC(\C([O-])=O)=C(C(\Br)=1)/Br)		GPADKIKEHFMOHG-UHFFFAOYSA-M									PlantCyc/PMN local PGDB
QUERCETIN-33-BISSULFATE	QUERCETIN-33-BISSULFATE	quercetin-3,3'-bissulfate	461.9562817883					C15H7O13S2			plantcyc <https://plantcyc.org/>		461.9562817883	C3(/C=C(C(/OS(=O)(=O)[O-])=C\C(\C1(\OC2(/C=C(/C=C(C(\C(=O)C(/OS(=O)(=O)[O-])=1)=2)/O)/[O-])))=3)/O)		CVENNDDRCHLONB-UHFFFAOYSA-K									PlantCyc/PMN local PGDB
CPD-15716	CPD-15716	sucrose 6 G -phosphate	422.0825419577					C12H21O14P			plantcyc <https://plantcyc.org/>	beta-D-fructofuranosyl-(21)-alpha-D-glucopyranoside 6-phosphate // alpha-D-glucopyranosyl-(12)-beta-D-fructofuranoside 6-phosphate	422.0825419577	C(O)[C@H]2(O[C@](O[C@H]1(O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H](O)[C@@H](O)1))(CO)[C@H]([C@@H]2O)O)		WQQSIXKPRAUZJL-UGDNZRGBSA-L									PlantCyc/PMN local PGDB
CPD-11253	CPD-11253	trans -tuberonic acid	226.1205090662					C12H17O4			plantcyc <https://plantcyc.org/>	trans -12-OHJA // trans -12-hydroxyjasmonic acid // trans -12-hydroxy-JA // E -12-hydroxyjasmonate // trans -12-hydroxyjasmonate	226.1205090662	C(O)C\C=C/C[C@H]1(C(=O)CC[C@@H]1CC([O-])=O)		RZGFUGXQKMEMOO-BSANDHCLSA-M									PlantCyc/PMN local PGDB
L-ALA-GAMMA-D-GLU-DAP	L-ALA-GAMMA-D-GLU-DAP	L-alanyl-gamma-D-glutamyl- meso -diaminopimelate	390.1750638322					C15H25N4O8			plantcyc <https://plantcyc.org/>	L-Ala-D-Glu- meso -A 2 pm // L-Ala-gamma-D-Glu-diaminopimelate // L-Ala-gamma-D-Glu-Dap // L-alanyl-gamma-D-glutamyl- meso -2,6-diaminoheptanedioate	390.1750638322	C[C@H]([NH3+])C(=O)N[C@H](CCC(=O)N[C@H](C([O-])=O)CCC[C@@H]([NH3+])C(=O)[O-])C(=O)[O-]		FMNCPUGORYYCEM-QCLAVDOMSA-M									PlantCyc/PMN local PGDB
L-HISTIDINOL-P	L-HISTIDINOL-P	L-histidinol phosphate	221.0565423992					C6H11N3O4P			plantcyc <https://plantcyc.org/>	histidinol-P // L-histidinol-p // histidinol phosphate	221.0565423992	C1(\N\C=N/C(\C[C@@H](COP([O-])(=O)[O-])[NH3+])=1)		CWNDERHTHMWBSI-YFKPBYRVSA-M									PlantCyc/PMN local PGDB
