Lab.ID	BIOCYC.ID	Compound.name	mz	RT	CAS.ID	HMDB.ID	KEGG.ID	Formula	mz.pos	mz.neg	Submitter	Synonyms	monisotopic_molecular_weight	SMILES.ID	INCHI.ID	INCHIKEY.ID	Kingdom	Super_class	Class	Sub_class	direct_parent	molecular_framework	classyfire_status	classyfire_source	source
CPD-8691	CPD-8691	abieta-7,13-dien-18-ol	288.2453156493					C20H32O			plantcyc <https://plantcyc.org/>	abietadienol // ((1R,4aR,4bR,10aR)-7-isopropyl-1,4a-dimethyl-1,2,3,4,4a,4b,5,6,10,10a-decahydrophenanthren-1-yl)methanol	288.2453156493	CC(C2(\CC[C@@H]3([C@@]1([C@H]([C@@](CCC1)(CO)C)C\C=C(/C=2)/3)C)))C		GQRUHVMVWNKUFW-LWYYNNOASA-N	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	Diterpenoids	Aliphatic homopolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-11529	CPD-11529	(+)-7- epi -jasmonoyl-CoA	959.2302381234					C33H48N7O18P3S			plantcyc <https://plantcyc.org/>	(+)-7-iso-jasmonoyl-CoA	959.2302381234	CC\C=C/C[C@@H]1(C(=O)CC[C@@H]1CC(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]2([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O2)N3(C4(\N=C/N=C(C(\N=C/3)=4)/N))))[O-])[O-])=O)		WQKKCPPNDKSAIU-CBGYDUJUSA-J	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters	Acyl CoAs	Aromatic heteropolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-23999	CPD-23999	2-heptyl-1-hydroxy-4(1 H )-quinolinone	259.1572289235					C16H21NO2			plantcyc <https://plantcyc.org/>		259.1572289235	CCCCCCCC1(\N(C2(/C=C\C=C/C(/C(\C=1)=O)=2))O)		ICTVCUOZYWNYHM-UHFFFAOYSA-N	Organic compounds	Organoheterocyclic compounds	Quinolines and derivatives	Quinolones and derivatives	Hydroxyquinolones	Aromatic heteropolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-19888	CPD-19888	[(3 S ,4 R )-4-(6-methylheptanoyl)-5-oxooxolan-3-yl]methyl phosphate	322.118139603					C13H21O7P			plantcyc <https://plantcyc.org/>	2-isocapryloyl-3 S -(phosphooxy)methyl-gamma-butyrolactone phosphate	322.118139603	CC(C)CCCCC([C@H]1([C@H](COP([O-])([O-])=O)COC(=O)1))=O		SVSJADIUUOOBST-CMPLNLGQSA-L	Organic compounds	Organoheterocyclic compounds	Lactones	Gamma butyrolactones	Gamma butyrolactones	Aliphatic heteromonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache	PlantCyc/PMN local PGDB
PRPP	PRPP	5-phospho-alpha-D-ribose 1-diphosphate	389.9518146567					C5H8O14P3			plantcyc <https://plantcyc.org/>	5-phosphoribosyl 1-pyrophosphate // 5-phosphoribosyl diphosphate // 5-phosphoribosyl-1-PP // 5-phosphoribosyl-PP // 5-phosphoribosyl-1-pyrophosphate // 5-phosphoribosylpyrophosphate // phosphoribosylpyrophosphate // 5-phospho-ribosyl-pyrophosphate // alpha-D-5-phosphoribosylPP // alpha-D-5-P-RibosylPP	389.9518146567	C(OP(=O)([O-])[O-])[C@@H]1([C@@H](O)[C@@H](O)[C@H](O1)OP(OP([O-])(=O)[O-])([O-])=O)		PQGCEDQWHSBAJP-TXICZTDVSA-I	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Pentose phosphates	Aliphatic heteromonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-653	CPD-653	( S )-NADHX	683.135336383					C21H29N7O15P2			plantcyc <https://plantcyc.org/>	(6 S )-6-beta-hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide	683.135336383	C1(/N([C@@H](O)CCC(/C(N)=O)=1)[C@@H]5(O[C@H](COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](O)[C@H](O)4))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)5))		IDBZKGQRLBFUFQ-VPHRTNKSSA-L	Organic compounds	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine nucleotide sugars	Purine nucleotide sugars	Aromatic heteropolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-11763	CPD-11763	bisorganyltrisulfane	646.1396826578					C20H32N6O12S3			plantcyc <https://plantcyc.org/>	GS 3 G	646.1396826578	C(SSSCC(NC(=O)CCC([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-])C(C(O)NCC(=O)[O-])NC(CCC(C([O-])=O)[NH3+])=O		IMZRQZICOZIGNP-UHFFFAOYSA-L	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Oligopeptides	Aliphatic acyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-7994	CPD-7994	1-methylpyrrolinium	85.0891493583					C5H10N			plantcyc <https://plantcyc.org/>	1-methyl-&Delta; 1 -pyrrolinium ion // N -methyl-&Delta; 1 -pyrrolinium cation	85.0891493583	C[N+]1(\CCC\C=1)		FDWZAOGDOVQOLD-UHFFFAOYSA-N	Organic compounds	Organoheterocyclic compounds	Pyrrolines		Pyrrolines	Aliphatic heteromonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-11281	CPD-11281	S -sulfanylglutathione	339.0558766739					C10H16N3O6S2			plantcyc <https://plantcyc.org/>	glutathione-sulfide // glutathione persulfide	339.0558766739	C(SS)[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O		QBOLVLBSUGJHGB-WDSKDSINSA-M							no_data	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPDQT-286	CPDQT-286	glucoberteroin	435.0691434766					C13H24NO9S3			plantcyc <https://plantcyc.org/>	5-(methylsulfanyl)pentyl-glucosinolate // 5-(methylthio)pentyl-glucosinolate	435.0691434766	CSCCCCCC(\S[C@@H]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)1))=N\OS(=O)(=O)[O-]		MEFPHTVXBPLRLX-CBEPRAPJSA-M							no_data	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
