Lab.ID	BIOCYC.ID	Compound.name	mz	RT	CAS.ID	HMDB.ID	KEGG.ID	Formula	mz.pos	mz.neg	Submitter	Synonyms	monisotopic_molecular_weight	SMILES.ID	INCHI.ID	INCHIKEY.ID	Kingdom	Super_class	Class	Sub_class	direct_parent	molecular_framework	classyfire_status	classyfire_source	source
CPD-20294	CPD-20294	2,4-di(2-methyl)butanoyl-3-(4-methyl)pentanoyl-sucrose	608.3044062502					C28H48O14			plantcyc <https://plantcyc.org/>		608.3044062502	CCC(C)C(O[C@H]2([C@H](OC(=O)CCC(C)C)[C@@H](OC(=O)C(C)CC)[C@@H](O[C@]1(CO)(O[C@H](CO)[C@@H](O)[C@H](O)1))O[C@H](CO)2))=O		FODZPEXOKQMZLX-LTOLBOEQSA-N	Organic compounds	Lipids and lipid-like molecules	Saccharolipids		Saccharolipids	Aliphatic heteromonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>	PlantCyc/PMN local PGDB
CPD-14900	CPD-14900	porifersta-5,7-dienol	412.3705161629					C29H48O			plantcyc <https://plantcyc.org/>	24S-ethylcholesta-5,7-dien-3beta-ol // 7-dehydroclionasterol // moonisterol	412.3705161629	CC[C@H](C(C)C)CC[C@@H](C)[C@H]3(CC[C@H]4(C2([C@@H]([C@@]1(C)(CC[C@H](O)CC/1=C\C=2))CC[C@](C)34)))		ARVGMISWLZPBCH-WGDHXTRRSA-N	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Stigmastanes and derivatives	Stigmastanes and derivatives	Aliphatic homopolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>	PlantCyc/PMN local PGDB
HYDROXYMETHYLBILANE	HYDROXYMETHYLBILANE	preuroporphyrinogen	854.2857960731					C40H38N4O17			plantcyc <https://plantcyc.org/>	hydroxymethylbilane	854.2857960731	C(O)C4(\NC(/CC3(\NC(/CC2(\NC(/CC1(\N\C=C(CCC(=O)[O-])/C(\CC([O-])=O)=1))=C(CCC(=O)[O-])/C(\CC([O-])=O)=2))=C(CCC(=O)[O-])/C(\CC(=O)[O-])=3))=C(CCC(=O)[O-])/C(\CC(=O)[O-])=4)		WDFJYRZCZIUBPR-UHFFFAOYSA-F	Organic compounds	Organoheterocyclic compounds	Tetrapyrroles and derivatives		Tetrapyrroles and derivatives	Aromatic heteromonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-6978	CPD-6978	4-coumaroyl-3',4'-dihydroxyphenyllactate	344.0896028683					C18H15O7			plantcyc <https://plantcyc.org/>	4-coumaroyl-3',4'-dihydroxyphenyllactic acid	344.0896028683	C(/C=C/C1(\C=C/C(/O)=C\C=1))(O[C@H](CC2(\C=C/C(/O)=C(\C=2)/O))C(=O)[O-])=O		KIMHJUCTTIEANQ-KZJSRBBCSA-M	Organic compounds	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Hydroxycinnamic acids and derivatives	Coumaric acid esters	Aromatic homomonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-11938	CPD-11938	1D- myo -inositol 1,5-bis(diphosphate) 2,3,4,6-tetrakisphosphate	819.794031385					C6H6O30P8			plantcyc <https://plantcyc.org/>	1,5-bisdiphosphoinositol-1D- myo -inositol (2,3,4,6)tetrakisphosphate // 1D- myo -inositol 1-diphosphate pentakisphosphate	819.794031385	[C@H]1(OP(=O)([O-])[O-])([C@@H](OP(=O)([O-])[O-])[C@H](OP([O-])(=O)OP([O-])(=O)[O-])[C@@H](OP([O-])(=O)[O-])[C@H](OP(OP([O-])(=O)[O-])([O-])=O)[C@H](OP([O-])([O-])=O)1)		HHQOOERQSFJGEP-SLWYWOEDSA-A	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Inositol phosphates	Aliphatic homomonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-9584	CPD-9584	(6-hydroxy-indol-3-yl)acetyl-L-phenylalanine	338.1266570766					C19H17N2O4			plantcyc <https://plantcyc.org/>	6-OH-IAA-Phe // 6-hydroxy-IAA-phenylalanine // N -(6-hydroxyinol-3-ylacetyl)-phenylalanine	338.1266570766	C(CC1(\C2(/C=C\C(\O)=C/C(/N\C=1)=2)))(N[C@H](C(=O)[O-])CC3(\C=C/C=C\C=3))=O		XYOSMXFVURVKBE-KRWDZBQOSA-M	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Phenylalanine and derivatives	Aromatic heteropolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>	PlantCyc/PMN local PGDB
CPD-15084	CPD-15084	8- C -glucosyl chrysin	416.1107322409					C21H20O9			plantcyc <https://plantcyc.org/>	chrysin 8-C-glucoside	416.1107322409	C([C@@H]1([C@H]([C@@H]([C@H]([C@@H](O1)C3(/C4(/OC(/C2(\C=C/C=C\C=2))=C/C(C(/C(/O)=C\C(\O)=3)=4)=O)))O)O)O))O		PFJBHVURUOQVHW-VPRICQMDSA-N	Organic compounds	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Flavonoid 8-C-glycosides	Aromatic heteropolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>	PlantCyc/PMN local PGDB
CPD-3343	CPD-3343	isoformononetin	268.0735588736					C16H12O4			plantcyc <https://plantcyc.org/>		268.0735588736	COC2(\C=C/C3(/C(=O)C(/C1(\C=C/C(/O)=C\C=1))=C/OC(/C=2)=3))		LNIQZRIHAMVRJA-UHFFFAOYSA-N	Organic compounds	Phenylpropanoids and polyketides	Isoflavonoids	O-methylated isoflavonoids	7-O-methylisoflavones	Aromatic heteropolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>	PlantCyc/PMN local PGDB
CPD-11845	CPD-11845	N -vanillate-L-glutamate	297.0848518414					C13H13NO7			plantcyc <https://plantcyc.org/>	N -(4-hydroxy-3-methoxybenzoyl)-L-glutamate // N -(4-hydroxy-3-methoxybenzoyl)-L-glutamic acid	297.0848518414	COC1(/C=C(\C=C/C(/O)=1)/C(=O)N[C@@H](CCC([O-])=O)C(=O)[O-])		NAZILJHSHDTNTQ-QMMMGPOBSA-L	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Glutamic acid and derivatives	Aromatic homomonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>	PlantCyc/PMN local PGDB
CPDQT-412	CPDQT-412	( Z )-&omega;-(methylsulfanyl)hexyl-thiohydroximate	193.0595054888					C7H15NOS2			plantcyc <https://plantcyc.org/>	( Z )- N -hydroxy-6-(methylsulfanyl)heximidothioate	193.0595054888	CSCCCCCC(\S)=N\O		HZGWSMQRHPTXFL-UHFFFAOYSA-N	Organic compounds	Organosulfur compounds	Thioamides		Thioamides	Aliphatic acyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache	PlantCyc/PMN local PGDB
CPDQT-286	CPDQT-286	glucoberteroin	435.0691434766					C13H24NO9S3			plantcyc <https://plantcyc.org/>	5-(methylsulfanyl)pentyl-glucosinolate // 5-(methylthio)pentyl-glucosinolate	435.0691434766	CSCCCCCC(\S[C@@H]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)1))=N\OS(=O)(=O)[O-]		MEFPHTVXBPLRLX-CBEPRAPJSA-M							no_data	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-4573	CPD-4573	30-oxolanosterol	440.365430785					C30H48O2			plantcyc <https://plantcyc.org/>	14-oxo-lanosterol // 4,4-dimethyl-14alpha-formyl-5alpha-cholesta-8,24-dien-3beta-ol	440.365430785	CC(C)=CCC[C@H]([C@@H]1([C@]3(C)([C@@](C=O)(CC1)C4(\CC[C@@H]2(C(C)(C)[C@@H](O)CC[C@@]2(C(\CC3)=4)C)))))C		PGGIMLIQOHYFIS-PUXRVUTHSA-N	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Aliphatic homopolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-12505	CPD-12505	1,3,7,9-tetramethylurate	224.0909402723					C9H12N4O3			plantcyc <https://plantcyc.org/>	1,3,7,9-tetramethyluric acid // theacrine	224.0909402723	CN1(C(=O)N(C)C2(N(C)C(=O)N(C)C(=O)C1=2))		QGDOQULISIQFHQ-UHFFFAOYSA-N	Organic compounds	Organoheterocyclic compounds	Imidazopyrimidines	Purines and purine derivatives	Xanthines	Aromatic heteropolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>	PlantCyc/PMN local PGDB
CPD-26833	CPD-26833	3-hydroxy-3-(4-hydroxyphenyl)propanoate	182.0579088094					C9H9O4			plantcyc <https://plantcyc.org/>		182.0579088094	C(=O)([O-])CC(O)C1(\C=C/C(/O)=C\C=1)		AKWHTKRUNUYXDS-UHFFFAOYSA-M	Organic compounds	Phenylpropanoids and polyketides	Phenylpropanoic acids		Phenylpropanoic acids	Aromatic homomonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>	PlantCyc/PMN local PGDB
CPD-15481	CPD-15481	7,4'-dihydroxy, 8-methoxyflavone	284.0684734957					C16H12O5			plantcyc <https://plantcyc.org/>	4H-1-benzopyran-4-one, 7-hydroxy-2-(4-hydroxyphenyl)-8-methoxy-	284.0684734957	COC2(/C3(/OC(/C1(\C=C/C(/O)=C\C=1))=C/C(=O)C(/C=C\C(\O)=2)=3))		TUAQTVHCVXGYKM-UHFFFAOYSA-N	Organic compounds	Phenylpropanoids and polyketides	Flavonoids	O-methylated flavonoids	8-O-methylated flavonoids	Aromatic heteropolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>	PlantCyc/PMN local PGDB
CPD-9633	CPD-9633	1,4,5-trihydroxy-6,7,8-trimethoxy-2-methylanthraquinone	360.0845174904					C18H16O8			plantcyc <https://plantcyc.org/>		360.0845174904	CC1(/C=C(C2(\C(=O)C3(/C(/O)=C(C(\OC)=C(C(\C(=O)C(/C(/O)=1)=2)=3)\OC)/OC)))/O)		MEHFFTKCQDPUMR-UHFFFAOYSA-N	Organic compounds	Benzenoids	Anthracenes	Anthraquinones	Anthraquinones	Aromatic homopolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>	PlantCyc/PMN local PGDB
CPD-14861	CPD-14861	2'-hydroxy 3,6,7,4'-tetramethylquercetagetin	390.0950821767					C19H18O9			plantcyc <https://plantcyc.org/>		390.0950821767	COC3(/C(/O)=C2(C(/OC(\C1(C(\O)=C(C(/OC)=C\C=1)\O))=C(C(=O)2)/OC)=C\C(\OC)=3))		JUMXNPKEKATCOD-UHFFFAOYSA-N	Organic compounds	Phenylpropanoids and polyketides	Flavonoids	O-methylated flavonoids	7-O-methylated flavonoids	Aromatic heteropolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>	PlantCyc/PMN local PGDB
CPD-11939	CPD-11939	3,5-bisdiphosphoinositol-1D- myo -inositol 2,3,4,6-tetrakisphosphate	819.794031385					C6H6O30P8			plantcyc <https://plantcyc.org/>		819.794031385	[C@@H]1(OP([O-])([O-])=O)([C@H](OP([O-])(=O)[O-])[C@@H](OP(=O)([O-])OP(=O)([O-])[O-])[C@H](OP(=O)([O-])[O-])[C@@H](OP(=O)([O-])OP([O-])(=O)[O-])[C@@H](OP([O-])([O-])=O)1)		HHQOOERQSFJGEP-ZSIQDKGESA-A	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Inositol phosphates	Aliphatic homomonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>	PlantCyc/PMN local PGDB
CPD-16418	CPD-16418	isolychnose	666.2218584123					C24H42O21			plantcyc <https://plantcyc.org/>	3 F -alpha-D-galactosylraffinose // alpha-D-Gal-(1->6)-alpha-D-Glc-(1->2)-beta-D-Fru-(13)-alpha-D-Gal	666.2218584123	C(O)[C@@H]1([C@@H]([C@H](O)[C@H]([C@H](O1)O[C@H]2([C@@H]([C@@H](CO)O[C@](CO)2O[C@@H]4([C@@H]([C@H]([C@@H]([C@@H](CO[C@@H]3([C@@H]([C@H]([C@H]([C@@H](CO)O3)O)O)O))O4)O)O)O))O))O)O)		ZJTKROCMWYBRPX-DFMCVVGJSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Oligosaccharides	Aliphatic heteromonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>	PlantCyc/PMN local PGDB
