Lab.ID	BIOCYC.ID	Compound.name	mz	RT	CAS.ID	HMDB.ID	KEGG.ID	Formula	mz.pos	mz.neg	Submitter	Synonyms	monisotopic_molecular_weight	SMILES.ID	INCHI.ID	INCHIKEY.ID	Kingdom	Super_class	Class	Sub_class	direct_parent	molecular_framework	classyfire_status	classyfire_source	source
CPD-4403	CPD-4403	(6alpha S ,11alpha S )-3,6a,9-trihydroxy-4-prenylpterocarpan	340.1310737525					C20H20O5			plantcyc <https://plantcyc.org/>	4-Dimethylallylglycinol // (+)-4-dimethylallyl-3,6alpha,9-trihydroxypterocarpan // 2-(6alpha S ,11alpha S )-dimethylallyl-3,6alpha,9-trihydroxypterocarpan // (6alpha S ,11alpha S )-4-dimethylallyl-3,6alpha,9-trihydroxypterocarpan	340.1310737525	CC(C)=CCC3(/C4(/OC[C@]1(O)([C@@H](OC2(\C1=C/C=C(/C=2)/O))C(/C=C\C(\O)=3)=4)))		NLHMQOCIFRDSNU-VQTJNVASSA-N	Organic compounds	Phenylpropanoids and polyketides	Isoflavonoids	Furanoisoflavonoids	Pterocarpans	Aromatic heteropolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-8607	CPD-8607	4,4-dimethyl-14alpha-hydroxymethyl-5alpha-cholesta-8-en-3beta-ol	444.3967309134					C30H52O2			plantcyc <https://plantcyc.org/>		444.3967309134	CC(C)CCC[C@H]([C@@H]4([C@]1(C)([C@](CO)(C2(\CC[C@@H]3([C@@](C)(C(\CC1)=2)CC[C@H](O)C(C)(C)3)))CC4)))C		SJPDNXKPBQHPMZ-PUXRVUTHSA-N	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Aliphatic homopolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-12373	CPD-12373	indole-5,6-quinone	147.0320284099					C8H5NO2			plantcyc <https://plantcyc.org/>	IQ // indolequinone	147.0320284099	C1(\C2(\C(\N\C=1)=C/C(=O)C(=O)\C=2))		IGGVVGHJSQSLFO-UHFFFAOYSA-N	Organic compounds	Organoheterocyclic compounds	Indoles and derivatives		Indoles and derivatives	Aromatic heteropolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
BILIRUBIN-GLUCURONOSIDE	BILIRUBIN-GLUCURONOSIDE	C12-beta-glucuronosyl-bilirubin-IX alpha	760.2955728984					C39H42N4O12			plantcyc <https://plantcyc.org/>	bilirubin monoglucuronide (C 12 isomer) // bilirubin glucuronoside (C 12 isomer)	760.2955728984	C=CC1(\C(\NC(C(/C)=1)=O)=C\C5(\NC(/CC4(\NC(/C=C2(C(/C)=C(C=C)/C(=O)N2))=C(C)/C(\CCC(O[C@H]3([C@@H]([C@@H](O)[C@@H]([C@H](O3)C(=O)[O-])O)O))=O)=4))=C(CCC([O-])=O)/C(\C)=5))		MQRFWGRFUKAJAX-LCNKTQGVSA-L							no_data	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-14100	CPD-14100	4-oxo-4-(pyridin-3-yl)butanal	163.0633285383					C9H9NO2			plantcyc <https://plantcyc.org/>	3-succinylsemialdehyde-pyridine	163.0633285383	C(=O)CCC(=O)C1(\C=C/C=N\C=1)		CFONOJVUTZAMCB-UHFFFAOYSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Aryl alkyl ketones	Aromatic heteromonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
INDOLE-3-ACETYL-BETA-6-D-GLUCOSE	INDOLE-3-ACETYL-BETA-6-D-GLUCOSE	6- O -(indol-3-ylacetyl)-beta-D-glucose	337.1161519698					C16H19NO7			plantcyc <https://plantcyc.org/>	indole-3-acetyl-beta-6-D-glucose	337.1161519698	C(OC(=O)CC1(\C2(/C=C\C=C/C(/N\C=1)=2)))[C@H]3(O[C@H]([C@H](O)[C@H]([C@H](O)3)O)O)		DKHLXGMLDJKOFU-YMILTQATSA-N	Organic compounds	Organoheterocyclic compounds	Indoles and derivatives	Indolyl carboxylic acids and derivatives	Indole-3-acetic acid derivatives	Aromatic heteropolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-14298	CPD-14298	2,6-dioxo-6-phenylhexa-3-enoate	218.0579088094					C12H9O4			plantcyc <https://plantcyc.org/>		218.0579088094	C([O-])(=O)C(/C=C/CC(C1(\C=C/C=C\C=1))=O)=O		QPGAZPBFRAAJBD-XBXARRHUSA-M	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Alkyl-phenylketones	Aromatic homomonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPDQT-4	CPDQT-4	beta-L-galactose 1-phosphate	260.0297185262					C6H11O9P			plantcyc <https://plantcyc.org/>		260.0297185262	C(O)[C@H]1([C@@H](O)[C@@H](O)[C@H](O)[C@@H](OP([O-])([O-])=O)O1)		HXXFSFRBOHSIMQ-SXUWKVJYSA-L							no_data	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
DEACETOXYVINDOLINE	DEACETOXYVINDOLINE	deacetoxyvindoline	398.2205574618					C23H31N2O4			plantcyc <https://plantcyc.org/>	desacetoxyvindoline	398.2205574618	CC[C@@]25(\C=C/C[NH+]4(CC[C@@]1(C3(/C=C\C(\OC)=C/C(/N(C)[C@H]1[C@](C(OC)=O)(O)C2)=3))[C@@H]45))		WNKDGPXNFMMOEJ-RNJSZURPSA-O							no_data	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-264	CPD-264	3-hydroxybenzoyl-CoA	887.1363377382					C28H36N7O18P3S			plantcyc <https://plantcyc.org/>		887.1363377382	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(C1(\C=C(\C=C/C=1)\O))=O)COP(=O)(OP(=O)(OC[C@H]2(O[C@H]([C@@H]([C@@H]2OP([O-])(=O)[O-])O)N3(C4(\N=C/N=C(C(\N=C/3)=4)/N))))[O-])[O-]		JTBCMZVWWNFUFR-TYHXJLICSA-J	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters	Acyl CoAs	Aromatic heteropolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache	PlantCyc/PMN local PGDB
